匂,にお∙う fragrant
栗,くり/リツ chestnut
田,た/デン rice field
返,かえ∙す/ヘン return
峨,けわ∙しい/ガ high mountain
玄,ゲン mysterious
針,はり/シン needle
屠,ほふ∙る/ト slaughter
謹,つつし∙む/キン discreet
番,つが∙い/バン turn
權,おもり/ケン authority
栃,とち horse chestnut
漫,みだり∙に/マン cartoon
妥,ダ gentle
鷗,かもめ/オウ seagull
笠,かさ/リュウ bamboo hat
瑠,ル lapis lazuli
徽,しるし/キ good
挾,はさ∙む/キョウ put between
浄,きよ∙める/ジョウ clean
群,む∙れる/グン flock
燭,ともしび/ソク light
郎,おとこ/ロウ son
掏,す∙る/トウ pickpocket
腐,くさ∙る/フ rot
酒,さけ/シュ sake
廷,テイ courts
瀨,せ/ライ swift current
辭,や∙める/ジ words
服,フク clothing
菅,すげ/カン sedge
龜,かめ/キ turtle
漢,カン Sino-
原,はら/ゲン meadow
身,み/シン somebody
覗,のぞ∙く/シ peep
僧,ソウ Buddhist priest
悧,リ clever
黃,き/コウ yellow
學,まな∙ぶ/ガク learning
戀,こ∙う/レン in love
寶,たから/ホウ treasure
簞,はこ/タン small bamboo basket for holding
甲,きのえ/コウ armor
酢,す/サク vinegar
叉,また/サ fork in road
誠,まこと/セイ sincerity
璋,ショウ ceremonial jeweled implement
履,は∙く/リ perform
布,ぬの/フ linen
冥,くら∙い/メイ dark
枕,まくら/チン pillow
雛,ひな/スウ chick
練,ね∙る/レン practice
痰,タン sputum
寡,カ widow
樹,き/ジュ timber
社,やしろ/シャ company
演,エン performance
瑳,みが∙く/サ polish
者,もの/シャ 
頻,ヒン 
孜,つと∙める/シ industriousness
揭,かかげる/ケイ raise
幅,はば/フク hanging scroll
擲,なぐ∙る/テキ hit
別,わか∙れる/ベツ separate
李,すもも/リ plum
修,おさ∙める/シュウ discipline
膽,きも/タン gall bladder
最,もっと∙も/サイ utmost
萎,な/イ wither
斷,た∙つ/ダン sever
草,くさ/ソウ grass
風,かぜ/フウ wind
退,しりぞ∙く/タイ retreat
弱,よわ∙い/ジャク weak
奥,おく/オウ heart
苦,くる∙しい/ク suffering
遭,あ∙う/ソウ encounter
嘆,なげ∙く/タン sigh
偵,テイ spy
粛,つつし∙む/シュク solemn
違,ちが∙う/イ difference
鍊,ねる/レン smelt metals
臍,へそ/セイ navel
契,ちぎ∙る/ケイ pledge
諸,もろ/ショ several
縁,ふち/エン affinity
絞,しぼ∙る/コウ strangle
朱,あけ/シュ vermilion
綿,わた/メン cotton
朋,とも/ホウ companion
據,よ∙る/キョ to occupy
験,あかし/ケン verification
救,すく∙う/キュウ salvation
晝,ひる/チュウ daytime
沃,そそ∙ぐ/ヨウ fertility
歎,なげ∙く/タン grief
阪,さか/ハン heights
施,ほどこ∙す/シ give
鑄,い∙る/チュウ cast
死,し∙ぬ/シ death
庭,にわ/テイ courtyard
穢,けが∙す/アイ dirty
樽,たる/ソン barrel
匡,すく∙う/キョウ correct
投,な∙げる/トウ throw
瞭,あきらか/リョウ clear
贔,ヒ strength
淮,ワイ name of a Chinese river
散,ち∙る/サン scatter
悸,キ pulsate
湧,わ∙く/ユウ boil
晴,は∙れる/セイ clear up
署,ショ 
軋,きし∙る/アツ squeak
晦,つごもり/カイ dark
抵,テイ resist
縷,いと/ル thread
研,と∙ぐ/ケン polish
字,あざ/ジ character
朧,おぼろ/ロウ haziness
挽,ひ∙く/バン saw
尾,お/ビ tail
姉,あね/シ elder sister
鑑,かんが∙みる/カン specimen
面,おも/メン mask
敦,あつ∙い/トン industry
葵,あおい/キ hollyhock
塚,つか/チョウ hillock
示,しめ∙す/ジ show
鯆,いるか/フ type of herring
麻,あさ/マ hemp
嗟,あ/サ be satisfied
蛮,えびす/バン barbarian
浦,うら/ホ bay
婢,はしため/ヒ maidservant
俄,にわか/ガ sudden
鬚,ひげ/シュ beard
謠,うた∙う/ヨウ chant (esp. Noh)
銛,もり/セン harpoon
停,と∙める/テイ halt
簾,すだれ/レン bamboo screen
嘗,かつ∙て/ショウ once
津,つ/シン haven
剃,まい/テイ shave
蓋,ふた/ガイ cover
狩,か∙る/シュ hunt
勳,いさお/クン meritorious deed
燻,くす∙べる/クン smoulder
必,かなら∙ず/ヒツ invariably
趙,チョウ nimble
諧,かな∙う/カイ harmony
狗,いぬ/ク puppy
幸,さいわ∙い/コウ happiness
繁,ハン 
雪,ゆき/セツ snow
鳩,はと/キュウ pigeon
寝,ね∙る/シン lie down
度,たび/ド degrees
塾,ジュク cram school
房,ふさ/ボウ tassel
啓,ひら∙く/ケイ disclose
昵,ちかづ∙く/ジツ reconcile
昂,あ∙がる/コウ rise
辺,あた∙り/ヘン environs
枠,わく frame
墓,はか/ボ grave
孕,はら∙む/ヨウ become pregnant
怕,かしわ/ハク oak
騎,キ equestrian
儂,わし/ドウ I
術,すべ/ジュツ art
浬,かいり/リ knot
袋,ふくろ/タイ sack
烈,はげ∙しい/レツ ardent
向,む∙く/コウ yonder
澤,さわ/タク swamp
唇,くちびる/シン lips
釘,くぎ/テイ nail
冊,ふみ/サツ tome
室,むろ/シツ room
飴,あめ/イ rice jelly
蛍,ほたる/ケイ lightning-bug
無,な∙い/ム nothingness
董,ただ∙す/トウ correct
吏,リ officer
鯰,なまず/ネン fresh-water catfish
浙,セツ name of a Chinese river
厳,おごそ∙か/ゲン stern
拐,カイ kidnap
撒,ま∙く/サン scatter
接,つ∙ぐ/セツ touch
吐,は∙く/ト spit
塊,かたまり/カイ clod
曲,ま∙がる/キョク bend
壌,つち/ジョウ lot
棋,ご/キ chess piece
熊,くま/ユウ bear
診,み∙る/シン checkup
収,おさ∙める/シュウ income
愉,たの∙しい/ユ pleasure
奎,ケイ star
団,かたまり/ダン group
尖,とが∙る/セン be pointed
澪,みお/レイ water route
綴,と∙じる/テイ compose
驍,たけし/ギョウ strong
絆,きずな/ハン bonds
駕,かご/カ vehicle
為,ため/イ do
農,ノウ agriculture
灰,はい/カイ ashes
朔,ついたち/サク conjunction (astronomy)
嵩,かさ/スウ be aggravated
燃,も∙える/ネン burn
禰,ネ ancestral shrine
容,い∙れる/ヨウ contain
懼,おそ∙れる/ク fear
猥,みだ∙ら/ワイ obscene
営,いとな∙む/エイ occupation
謐,しずか/ヒツ quiet
厚,あつ∙い/コウ thick
俳,ハイ haiku
濾,こ∙す/ロ filter
梳,と∙く/ソ comb (hair)
瑶,たま/ヨウ beautiful as a jewel
巡,めぐ∙る/ジュン patrol
斉,そろ∙う/セイ adjusted
誅,ちゅう∙する/チュウ death penalty
宥,なだ∙める/ユウ soothe
侘,わび∙しい/タ proud
洵,の∙ぶ/ジュン alike
者,もの/シャ someone
及,およ∙ぶ/キュウ reach out
央,オウ center
鐵,くろがね/テツ iron
毎,ごと/マイ every
朗,ほが∙らか/ロウ melodious
刹,セチ temple
怯,ひる∙む/キョウ cowardice
膳,かしわ/ゼン small low table
賀,ガ congratulations
猾,わるがしこ∙い/カツ crafty
嘴,くちばし/シ beak
畢,おわ∙る/ヒツ the end
翼,つばさ/ヨク wing
謡,うた∙い/ヨウ song
郤,ゲキ crevice
抽,ひき-/チュウ pluck
殆,ほとほと/タイ almost
皇,コウ emperor
關,せき/カン connection
筧,ケン waterpipe
煎,せん∙じる/セン broil
四,よ/シ four
每,つね/マイ every
慕,した∙う/ボ pining
壽,ことぶき/ジュ longevity
更,さら/コウ grow late
妄,みだ∙りに/モウ delusion
總,す∙べて/ソウ collect
始,はじ∙める/シ commence
続,つづ∙く/ゾク continue
櫃,ひつ/キ chest
争,あらそ∙う/ソウ contend
逓,かわ∙る/テイ relay
孤,コ orphan
芳,かんば∙しい/ホウ perfume
壹,ひとつ/イチ number one
盲,めくら/モウ blind
化,ば∙ける/カ change
皐,さつき/コウ swamp
仮,かり/カ sham
宮,みや/キュウ Shinto shrine
仏,ほとけ/ブツ Buddha
呪,まじな∙う/ジュ spell
灣,いりえ/ワン gulf
排,ハイ repudiate
釧,くしろ/セン bracelet
躱,かわ∙す/タ dodge
槃,たら∙い/ハン tub
贄,にえ/シ offering
省,かえり∙みる/セイ focus
韓,から/カン Korea
冨,と∙む/フ enrich
誕,タン nativity
奇,く∙しき/キ strange
丼,どんぶり/トン bowl
曝,さら∙す/バク bleach
嘆,なげかわしい/タン 
岩,いわ/ガン boulder
稲,いね/トウ rice plant
精,セイ refined
毘,たす∙ける/ヒ help
崔,がけ/ガイ cliff
検,しら∙べる/ケン examination
造,つく∙る/ゾウ create
傭,やと∙う/ヨウ employ
蹲,つくば∙う/ソン crouch
暗,くら∙い/アン darkness
菖,ショウ iris
擇,えら∙ぶ/タク select
繪,カイ picture
冷,つめ∙たい/レイ cool
唄,うた/バイ song
凭,もた∙れる/ヒョウ lean on
疏,あら∙い/ソ pass through
惹,ひ∙く/ジャク attract
状,ジョウ status quo
縄,なわ/ジョウ straw rope
鉢,ハチ bowl
遞,かわ∙る/テイ hand over
晏,おそ∙い/アン late
俗,ゾク vulgar
駐,チュウ stop-over
芝,しば/シ turf
侃,つよ∙い/カン strong
鯡,にしん/ヒ herring
剤,かる/ザイ dose
喪,も/ソウ miss
領,えり/リョウ jurisdiction
覆,おお∙う/フク capsize
串,くし/カン shish kebab
火,ひ/カ fire
円,まる∙い/エン circle
糠,ぬか/コウ rice bran
蛸,たこ/ソウ octopus
遼,リョウ distant
險,けわ∙しい/ケン inaccessible place
隷,したが∙う/レイ slave
迪,みち/テキ edify
奴,やつ/ド guy
毫,ごう∙も/ゴウ fine hair
底,そこ/テイ bottom
栽,サイ plantation
在,あ∙る/ザイ exist
檢,しら∙べる/ケン check
殼,から/カク husk
溫,あたたか/オン lukewarm
節,ふし/セチ 
堀,ほり/クツ ditch
快,こころよ∙い/カイ cheerful
侑,すす∙める/ユウ urge to eat
泣,な∙く/キュウ cry
畏,おそ∙れる/イ fear
迅,ジン swift
嚢,ふくろ/ノウ pouch
偽,いつわ∙る/ギ falsehood
区,ク ward
泪,なみだ/ルイ tears
洗,あら∙う/セン wash
適,かな∙う/テキ suitable
械,かせ/カイ contraption
蝉,せみ/セン cicada
膝,ひざ/シツ knee
吃,ども∙る/キツ stammer
屆,とど∙ける/カイ reach
應,あた∙る/オウ answer
犯,おか∙す/ハン crime
也,なり/ヤ to be (classical)
框,かまち/キョウ framework
載,の∙せる/サイ ride
蟇,ひき/バ toad
穗,ほ/スイ ear (of grain)
夫,おっと/フ husband
贖,あがな∙う/ショク redeem
放,はな∙す/ホウ set free
的,まと/テキ bull's eye
來,く∙る/ライ come
褌,ふんどし/コン loincloth
沫,あわ/マツ splash
胃,イ stomach
瀾,なみ/ラン large waves
旗,はた/キ national flag
氏,うじ/シ family name
桐,きり/トウ paulownia
材,ザイ lumber
浅,あさ∙い/セン shallow
僅,わず∙か/キン a wee bit
捕,と∙らえる/ホ catch
其,それ/キ that
次,つ∙ぐ/ジ next
牀,ゆか/ショウ bed
濕,しめ∙る/シツ wet
犬,いぬ/ケン dog
芯,シン wick
濠,ほり/ゴウ moat
倉,くら/ソウ godown
哲,さとい/テツ philosophy
又,また/ユウ or again
做,な∙す/サ make
幕,とばり/マク curtain
柏,かしわ/ハク oak
付,つ∙ける/フ adhere
稟,こめぐら/リン salary in rice
拘,かか∙わる/コウ arrest
淀,よど∙む/テン pool
竟,おわ∙る/キョウ end
欺,あざむ∙く/ギ deceit
暫,しばら∙く/ザン temporarily
醜,みにく∙い/シュウ ugly
禿,ちび∙る/トク become bald
濟,す∙む/サイ to help
姦,かん∙する/カン wicked
半,なか∙ば/ハン half
代,か∙わる/ダイ substitute
厨,くりや/シュウ kitchen
憶,オク recollection
元,もと/ゲン beginning
娠,シン with child
霞,かすみ/カ be hazy
把,ハ grasp
液,エキ fluid
沿,そ∙う/エン run alongside
松,まつ/ショウ pine tree
繁,しげ∙る/ハン luxuriant
弄,いじく∙る/ロウ play with
鎖,くさり/サ chain
穿,うが∙つ/セン put on (to the feet)
恢,ひろ∙い/カイ wide
祝,いわ∙う/シュク celebrate
鮒,ふな/ホ carp
捏,こ∙ねる/ネツ knead
黄,き/コウ yellow
咽,むせ∙ぶ/イン throat
稜,いつ/リョウ angle
旋,セン rotation
竹,たけ/チク bamboo
奔,はし∙る/ホン run
兼,か∙ねる/ケン concurrently
亜,つ∙ぐ/ア Asia
殻,から/カク husk
圖,え/ズ drawing
鱸,すずき/ロ sea bass
暴,あば∙く/ボウ outburst
強,つよ∙い/キョウ strong
攣,つ∙る/レン crooked
換,か∙える/カン interchange
喫,の∙む/キツ consume
瑕,あら/カ flaw
曽,かつ/ソウ formerly
嫉,そね∙む/シツ jealous
顚,いただ∙き/テン top
辰,たつ/シン sign of the dragon
外,そと/ガイ outside
缶,かま/カン tin can
佇,たたず∙む/チョ stop
慇,イン courtesy
母,はは/ボ mother
嚇,おど∙す/カク menacing
髪,かみ/ハツ hair of the head
器,うつわ/キ utensil
墨,すみ/ボク black ink
齢,よわい/レイ age
禎,さいわ∙い/テイ happiness
歷, take place
渥,あつ∙い/アク kindness
郊,コウ outskirts
残,のこ∙る/ザン remainder
片,かた-/ヘン one-sided
棹,さお/トウ pole a boat
奸,おか∙す/カン wickedness
牡,おす/ボ male
播,ま∙く/ハ plant
閨,ねや/ケイ bedroom
晨,あした/シン morning
周,まわ∙り/シュウ circumference
歯,よわい/シ tooth
贈,おく∙る/ゾウ presents
休,やす∙む/キュウ rest
冴,さ∙える/ゴ be clear
辣,から∙い/ラツ pungent
淨,きよ∙める/ジョウ pure
汁,しる/ジュウ soup
袢,ハン summer kimono
蔦,つた/チョウ vine
頽,くず∙れる/タイ decline
地,チ ground
優,やさ∙しい/ユウ tenderness
楼,たかどの/ロウ watchtower
鎌,かま/レン sickle
球,たま/キュウ ball
淡,あわ∙い/タン thin
褪,あ∙せる/タイ fade
挿,さ∙す/ソウ insert
虫,むし/チュウ insect
覺,おぼ∙える/カク memorize
今,いま/コン now
招,まね∙く/ショウ beckon
晋,すす∙む/シン advance
於,おい∙て/オ at
災,わざわ∙い/サイ disaster
剌,もと∙る/ラツ opposed
挑,いど∙む/チョウ challenge
几,きにょう/キ table
姜,こう/キョウ Chinese surname
鍋,なべ/カ pot
鯒,こち flathead (fish)
祇,くにつかみ/ギ national or local god
炙,あぶ∙る/シャ roast
萌,も∙える/ホウ show symptoms of
等,ひと∙しい/トウ etc.
孟,かしら/モウ chief
琶,ハ lute
琳,リン jewel
團,かたまり/ダン association
逍,ショウ saunter
攘,ぬす∙む/ジョウ chase away
柑,コン citrus
岸,きし/ガン beach
襲,おそ∙う/シュウ attack
麒,キ Chinese unicorn
巴,ともえ/ハ comma-design
祉,ツ 
述,の∙べる/ジュツ mention
衿,えり/キン neck
縣,か∙ける/ケン county
脂,あぶら/シ fat
穴,あな/ケツ hole
鬢,ビン sideburns
醍,ダイ whey
館,やかた/カン building
疼,うず∙く/トウ ache
厘,リン rin
政,まつりごと/セイ politics
艶,つや/エン glossy
鯉,こい/リ carp
痢,リ diarrhea
暉,かが∙やく/キ shine
妖,あや∙しい/ヨウ attractive
彦,ひこ/ゲン lad
滉,ひろ∙い/コウ deep and broad
鮑,あわび/ホ abalone
北,きた/ホク north
屏,おお∙う/ヘイ wall
福,さいわい/フク happiness
練,コウ 
饒,ゆたか/ジョウ abundant
媚,こ∙びる/ビ flatter
鯵,あじ/ソウ horse mackerel
胤,たね/イン descendent
釋,とく/シャク explain
序,つい∙で/ジョ preface
瑞,みず-/ズイ congratulations
宕,すぎる/トウ cave
媒,なこうど/バイ mediator
刀,かたな/トウ sword
峽,はざま/キョウ gorge
丞,すく∙う/ジョウ help
僻,へき∙する/ヘキ prejudice
多,おお∙い/タ many
躍,おど∙る/ヤク leap
卑,いや∙しい/ヒ lowly
詣,けい∙する/ケイ visit a temple
嘱,しょく∙する/ショク entrust
寛,くつろ∙ぐ/カン tolerant
子,こ/シ child
堯,たか∙い/ギョウ high
臭,くさ∙い/シュウ stinking
忠,チュウ loyalty
眺,なが∙める/チョウ stare
純,ジュン genuine
抹,マツ rub
爾,なんじ/ジ you
黑,くろい/コク black
進,すす∙む/シン advance
鰒,あわび/フク abalone
亂,みだ∙れる/ラン war
企,くわだ∙てる/キ undertake
遲,おく∙れる/チ late
寸,スン measurement
灘,なだ/タン open sea
蠢,うご∙めく/シュン wriggle
巷,ちまた/コウ fork in road
謂,い∙う/イ reason
頓,にわか∙に/トン suddenly
保,たも∙つ/ホ protect
擦,す∙る/サツ grate
年,とし/ネン year
迎,むか∙える/ゲイ welcome
険,けわ∙しい/ケン precipitous
套,かさ∙ねる/トウ accumulate
懃,ねんごろ/キン courtesy
坑,コウ pit
悴,せがれ/スイ becoming emaciated
慰,なぐさ∙める/イ consolation
稻,いね/トウ rice plant
愼,つつし∙む/シン care
鸞,ラン fabulous mythical bird
植,う∙える/ショク plant
酎,かも∙す/チュウ sake
迷,まよ∙う/メイ astray
暁,あかつき/ギョウ daybreak
宏,ひろ∙い/コウ wide
蒐,あかね/シュウ gather
倂,あわせる/ヘイ combine
異,こと/イ uncommon
喋,しゃべ∙る/チョウ talk
當,あ∙たる/トウ bear
廿,にじゅう/ジュウ twenty
類,たぐ∙い/ルイ sort
陶,トウ pottery
従,したが∙う/ジュウ accompany
吻,くちわき/フン proboscis
朴,ほう/ボク crude
肌,はだ/キ texture
午,うま/ゴ noon
衛,エイ defense
鏡,かがみ/キョウ mirror
下,した/カ below
醬,ひしお/ショウ any jam-like or paste-like food
恵,めぐ∙む/ケイ favor
繊,セン slender
曆,こよみ/レキ calendar
摩,ま∙する/マ chafe
括,くく∙る/カツ fasten
實,み/ジツ truth
吊,つ∙る/チョウ suspend
燒,や∙く/ショウ burn
唆,そそ∙る/サ tempt
抒,く∙む/ジョ tell
錏,しろこ/ア armour havelock
忌,い∙む/キ mourning
謹,つつしむ/キン 
海,うみ/カイ sea
遇,あ∙う/グウ meet
豪,えら∙い/ゴウ overpowering
夢,ゆめ/ム dream
痩,や∙せる/ソウ get thin
寂,さび/ジャク loneliness
梗,ふさぐ/コウ for the most part
粧,ショウ cosmetics
伝,つた∙わる/デン transmit
痕,あと/コン mark
謙,へりくだ∙る/ケン self-effacing
蠟,みつろう/ロウ wax
祖,ソ 
紡,つむ∙ぐ/ボウ spinning
憐,あわ∙れむ/レン pity
象,かたど∙る/ショウ elephant
嶋,しま/トウ island
肯,がえんじ∙る/コウ agreement
壊,こわ∙す/カイ demolition
占,し∙める/セン fortune-telling
討,う∙つ/トウ chastise
伴,ともな∙う/ハン consort
盜,ぬす∙む/トウ thief
熱,あつ∙い/ネツ heat
触,ふ∙れる/ショク contact
闘,たたか∙う/トウ fight
概,おおむ∙ね/ガイ outline
宰,サイ superintend
入,い∙る/ニュウ enter
栖,す∙む/セイ nest
機,はた/キ loom
讃,ほ∙める/サン praise
靴,くつ/カ shoes
堡,とりで/ホ fort
鯏,あさり short necked clam
照,て∙る/ショウ illuminate
擬,まが∙い/ギ mimic
鰍,かじか/シュウ bullhead
級,キュウ class
泄,も∙れる/セツ leak
症,ショウ symptoms
規,キ standard
昌,さかん/ショウ prosperous
波,なみ/ハ waves
潛,ひそ∙む/セン conceal
奪,うば∙う/ダツ rob
妬,ねた∙む/ト jealous
嘔,は∙く/オウ vomit
分,わ∙ける/ブン part
線,すじ/セン line
猫,ねこ/ビョウ cat
僚,リョウ colleague
改,あらた∙める/カイ reformation
渓,たに/ケイ mountain stream
嚴,おごそ∙か/ゲン strictness
聘,へい∙する/ヘイ invite
揮,ふる∙う/キ brandish
紬,つむぎ/チュウ pongee (a knotted silk cloth)
穆,やわ∙らぐ/ボク respectful
粹,いき/スイ pure
檎,キン apple
該,ガイ above-stated
昭,ショウ shining
戦,いくさ/セン war
申,もう∙す/シン have the honor to
効,き∙く/コウ merit
悶,もだ∙える/モン be in agony
辟,きみ/ヘキ false
絶,た∙える/ゼツ discontinue
望,のぞ∙む/ボウ ambition
維,イ fiber
途,みち/ト route
疑,うたが∙う/ギ doubt
六,む/ロク six
数,かず/スウ number
塚,つか/チョウ cemetery
良,よ∙い/リョウ good
龕,れい/カン alcove for an image
慎,つつし∙む/シン humility
鋸,のこ/キョ saw (cuts wood)
光,ひか∙る/コウ ray
錐,きり/スイ auger
遂,と∙げる/スイ consummate
鰊,にしん/レン herring
鞍,くら/アン saddle
歳,とし/サイ year-end
侍,さむらい/ジ waiter
茂,しげ∙る/モ overgrown
既,すでに/キ 
鳥,とり/チョウ bird
參,まい∙る/サン three
岬,みさき/コウ headland
例,たと∙える/レイ example
襦,したぎ/ジュ underwear
辻,つじ crossing
瑜,ユ jewel
竪,たて/ジュ length
星,ほし/セイ star
箸,はし/チョ chopsticks
理,ことわり/リ logic
終,お∙わる/シュウ end
芹,せり/キン parsley
正,ただ∙しい/セイ correct
埼,さき/キ cape
役,ヤク duty
輕,かる∙い/ケイ light
萬,よろず/マン ten thousand
煽,あお∙る/セン fan
凪,なぎ lull
臆,むね/オク timidity
秋,あき/シュウ autumn
証,あかし/ショウ evidence
豚,ぶた/トン pork
憎,にくい/ゾウ 
稽,かんが∙える/ケイ think
費,つい∙やす/ヒ expense
勘,カン intuition
殖,ふ∙える/ショク augment
捨,す∙てる/シャ discard
鞋,わらじ/アイ straw sandals
刃,は/ジン blade
中,なか/チュウ in
跪,ひざまず∙く/キ kneel
寓,ぐう∙する/グウ temporary abode
訛,なま∙る/カ accent
勃,おこ∙る/ボツ suddenness
回,まわ∙る/カイ -times
訳,わけ/ヤク translate
蒲,がま/ホ bullrush
燗,かん∙する/ラン warming sake
璃,リ glassy
霸,はたがしら/ハ supremacy
痴,し∙れる/チ stupid
恣,ほしいまま/シ selfish
価,あたい/カ value
鋳,い∙る/チュウ casting
物,もの/ブツ thing
難,かた∙い/ナン difficult
擊,う∙つ/ゲキ strike
米,こめ/ベイ rice
掟,おきて/トウ law
姑,しゅうとめ/コ mother-in-law
株,かぶ/シュ stocks
咲,さ∙く/ショウ blossom
敗,やぶ∙れる/ハイ failure
凜,きびし∙い/リン cold
歓,よろこ∙ぶ/カン delight
利,き∙く/リ profit
値,ね/チ price
逢,あ∙う/ホウ meeting
滅,ほろ∙びる/メツ destroy
克,か∙つ/コク overcome
引,ひ∙く/イン pull
彿,フツ dimly
詐,いつわ∙る/サ lie
村,むら/ソン village
駿,すぐ∙れる/シュン a good horse
劍,つるぎ/ケン sword
源,みなもと/ゲン source
一,ひと-/イチ one
皮,かわ/ヒ pelt
撰,せん∙する/サン composing
肥,こ∙える/ヒ fertilizer
沢,さわ/タク swamp
葺,あし/シュウ thatch
慮,おもんぱく∙る/リョ prudence
測,はか∙る/ソク fathom
瞑,めい∙する/メイ sleep
卜,うらな∙う/ボク divining
憎,にく∙む/ゾウ hate
詫,わび/タ apologize
鬱,うっ∙する/ウツ gloom
穩,おだ∙やか/オン calm
俺,おれ/エン I
金,かね/キン gold
試,こころ∙みる/シ test
岱,タイ old name for a Chinese mountain
彩,いろど∙る/サイ coloring
裾,すそ/キョ cuff
溜,た∙まる/リュウ collect
豹,ヒョウ leopard
弾,ひ∙く/ダン bullet
創,つく∙る/ソウ genesis
槌,つち/ツイ hammer
扈,したが∙う/コ follow
拵,こしら∙える/ソン make
舟,ふね/シュウ boat
貴,たっと∙い/キ precious
枝,えだ/シ bough
錬,ね∙る/レン tempering
妊,はら∙む/ニン pregnancy
窯,かま/ヨウ kiln
覇,はたがしら/ハ hegemony
炊,た∙く/スイ cook
標,しるべ/ヒョウ signpost
鰺,あじ/ソウ horse mackerel
棍,つえ/コン a cane
惠,めぐ∙む/ケイ blessing
賈,あきな∙い/コ buy
軌,キ rut
魚,うお/ギョ fish
羚,かもしか/レイ antelope
春,はる/シュン springtime
鉄,くろがね/テツ iron
蛆,うじ/ソ worm
刺,さ∙す/シ thorn
曾,かつ∙て/ソウ once
東,ひがし/トウ east
涙,なみだ/ルイ tears
称,たた∙える/ショウ appellation
実,み/ジツ reality
降,お∙りる/コウ descend
漕,こ∙ぐ/ソウ rowing
遊,あそ∙ぶ/ユウ play
珠,たま/シュ pearl
張,は∙る/チョウ lengthen
紫,むらさき/シ purple
当,あ∙たる/トウ hit
虜,とりこ/リョ captive
幇,たす∙ける/ホウ help
迄,まで/キツ until
峰,みね/ホウ summit
板,いた/ハン plank
幼,おさな∙い/ヨウ infancy
澁,しぶ/ジュウ astringent
基,もと/キ fundamentals
庄,ショウ level
承,うけたまわ∙る/ショウ acquiesce
秤,はかり/ショウ balances
況,まし∙て/キョウ condition
竣,わらわ/ドウ end
煩,わずら∙う/ハン anxiety
公,おおやけ/コウ public
肉,しし/ニク meat
繭,まゆ/ケン cocoon
蹴,け∙る/シュク kick
叟,おきな/ソウ old person
導,みちび∙く/ドウ guidance
袈,ケ a coarse camlet
笥,け/ス lunch box
辱,はずかし∙める/ジョク embarrass
写,うつ∙す/シャ copy
深,ふか∙い/シン deep
嫁,よめ/カ marry into
蕗,ふき/ロ butterbur
党,なかま/トウ party
厄,ヤク unlucky
孝,コウ filial piety
歌,うた/カ song
殊,こと/シュ particularly
蛇,へび/ジャ snake
鍔,つば/ガク sword guard
韮,にら/キュウ leek
印,しるし/イン stamp
涼,すず∙しい/リョウ refreshing
詳,くわ∙しい/ショウ detailed
羽,は/ウ feathers
俊,シュン sagacious
蟹,かに/カイ crab
鶯,うぐいす/オウ nightingale
醇,もっぱら/ジュン pure sake'
嚥,の∙む/エン swallow
胞,ホウ placenta
態,わざ∙と/タイ attitude
恍,とぼ∙ける/コウ unclear
栄,さか∙える/エイ flourish
按,おさ∙える/アン hold
漉,こ∙し/ロク manufacture paper
苺,いちご/バイ strawberry
操,みさお/ソウ maneuver
順,ジュン obey
堂,ドウ public chamber
希,まれ/キ hope
茜,あかね/セン madder
芥,からし/カイ mustard
島,しま/トウ island
用,もち∙いる/ヨウ utilize
聰,さと∙い/ソウ wise
轢,ひ∙く/レキ run over
渉,わた∙る/ショウ ford
幻,まぼろし/ゲン phantasm
發,た∙つ/ハツ departure
繋,つな∙ぐ/ケイ tie
跳,は∙ねる/チョウ hop
躇,ためら∙う/チョ hesitate
錨,いかり/ビョウ anchor
焰,ほのお/エン flame
菌,キン germ
祓,はら∙う/フツ exorcise
渠,かれ/キョ ditch
餅,もち/ヘイ mochi rice cake
技,わざ/ギ skill
惺,さと∙る/セイ realize
頂,いただ∙く/チョウ place on the head
懿,よい/イ beautiful
鯱,しゃちほこ fabulous dolphin-like fish
條,えだ/ジョウ article
哢,さえず∙る/ロウ chirp
插,さ∙す/ソウ insert
使,つか∙う/シ use
律,リツ rhythm
柿,かき/シ persimmon
図,え/ズ map
吾,われ/ゴ I
阻,はば∙む/ソ thwart
瞼,まぶた/ケン eyelids
曹,ソウ office
洲,しま/シュウ continent
髮,かみ/ハツ hair
哩,まいる/リ mile
燿,かがや∙く/ヨウ shine
興,おこ∙る/コウ entertain
絲,いと/シ thread
貢,みつ∙ぐ/コウ tribute
箒,ほうき/ソウ broom
設,もう∙ける/セツ establishment
匪,あら∙ず/ヒ negation
喝,カツ 
鮟,アン angler-fish
鉤,かぎ/コウ hook
探,さぐ∙る/タン grope
乏,とぼ∙しい/ボウ destitution
暈,ぼか∙す/ウン halo
銜,くつわ/カン horse's bit
易,やさ∙しい/エキ easy
骨,ほね/コツ skeleton
蒼,あお∙い/ソウ blue
廓,くるわ/カク enclosure
専,もっぱ∙ら/セン specialty
輝,かがや∙く/キ radiance
舛,まい/ブ dancing radical (no. 136)
札,ふだ/サツ tag
窩,むろ/カ cave
瀕,ほとり/ヒン shore
細,ほそ∙い/サイ dainty
吹,ふ∙く/スイ blow
鰙,わかさぎ/ハヤ 
暑,あつい/ショ 
累,ルイ accumulate
幡,はた/マン flag
區,ク ward
耙,ハ forked hoe
魅,ミ fascination
独,ひと∙り/ドク single
尋,たず∙ねる/ジン inquire
